source,target,weight
TH-AL,T001,2
TH-AL,T002,2
TH-AL,T003,1
TH-AL,T004,3
TH-AL,T005,3
TH-AL,T006,2
TH-AL,T007,3
TH-AL,T008,4
TH-AL,T009,2
TH-AL,T011,3
TH-AL,T012,1
TH-AL,T013,2
TH-AL,T014,3
TH-AL,T015,3
TH-AL,T016,2
TH-AL,T017,2
TH-AL,T018,4
TH-AL,T019,3
TH-AL,T020,1
TH-AL,T021,2
TH-AL,T022,2
TH-CL-1,T001,2
TH-CL-1,T003,1
TH-CL-1,T004,1
TH-CL-1,T005,2
TH-CL-1,T006,2
TH-CL-1,T007,3
TH-CL-1,T008,1
TH-CL-1,T010,1
TH-CL-1,T011,2
TH-CL-1,T013,1
TH-CL-1,T014,2
TH-CL-1,T015,2
TH-CL-1,T016,1
TH-CL-1,T017,1
TH-CL-1,T018,2
TH-CL-1,T019,1
TH-CL-1,T021,1
TH-CL-2,T001,2
TH-CL-2,T002,2
TH-CL-2,T003,1
TH-CL-2,T004,1
TH-CL-2,T005,4
TH-CL-2,T006,1
TH-CL-2,T007,1
TH-CL-2,T008,3
TH-CL-2,T009,1
TH-CL-2,T010,2
TH-CL-2,T011,3
TH-CL-2,T012,1
TH-CL-2,T013,2
TH-CL-2,T014,4
TH-CL-2,T015,3
TH-CL-2,T016,2
TH-CL-2,T017,1
TH-CL-2,T018,2
TH-CL-2,T019,2
TH-CL-2,T021,1
TH-CL-2,T022,1
TH-COI,T001,1
TH-COI,T003,1
TH-COI,T005,3
TH-COI,T006,1
TH-COI,T008,2
TH-COI,T009,1
TH-COI,T010,2
TH-COI,T011,1
TH-COI,T013,2
TH-COI,T014,3
TH-COI,T015,3
TH-COI,T016,2
TH-COI,T017,2
TH-COI,T018,1
TH-COI,T020,1
TH-COI,T021,1
TH-COI,T022,1
TH-CTOML,T001,2
TH-CTOML,T003,1
TH-CTOML,T004,1
TH-CTOML,T005,3
TH-CTOML,T006,2
TH-CTOML,T007,2
TH-CTOML,T008,1
TH-CTOML,T010,2
TH-CTOML,T011,3
TH-CTOML,T013,2
TH-CTOML,T014,2
TH-CTOML,T015,1
TH-CTOML,T016,2
TH-CTOML,T017,2
TH-CTOML,T018,3
TH-CTOML,T019,1
TH-CTOML,T021,1
TH-IF,T001,2
TH-IF,T002,1
TH-IF,T004,1
TH-IF,T005,2
TH-IF,T006,1
TH-IF,T007,1
TH-IF,T008,3
TH-IF,T009,1
TH-IF,T011,2
TH-IF,T013,1
TH-IF,T014,2
TH-IF,T015,1
TH-IF,T016,1
TH-IF,T017,1
TH-IF,T018,2
TH-IF,T019,1
TH-IF,T021,2
TH-IF,T022,1
TH-ML-1,T001,2
TH-ML-1,T002,1
TH-ML-1,T003,1
TH-ML-1,T005,4
TH-ML-1,T006,2
TH-ML-1,T007,2
TH-ML-1,T008,2
TH-ML-1,T010,2
TH-ML-1,T011,3
TH-ML-1,T013,4
TH-ML-1,T014,4
TH-ML-1,T015,3
TH-ML-1,T016,3
TH-ML-1,T017,2
TH-ML-1,T018,3
TH-ML-1,T019,2
TH-ML-1,T020,1
TH-ML-1,T022,2
TH-ML-2,T002,1
TH-ML-2,T003,1
TH-ML-2,T004,1
TH-ML-2,T005,1
TH-ML-2,T006,1
TH-ML-2,T007,1
TH-ML-2,T008,1
TH-ML-2,T009,2
TH-ML-2,T012,1
TH-ML-2,T014,1
TH-ML-2,T015,2
TH-ML-2,T016,1
TH-ML-2,T017,1
TH-ML-2,T018,1
TH-ML-2,T021,1
TH-ML-2,T022,1
TH-S,T001,2
TH-S,T002,1
TH-S,T003,2
TH-S,T004,3
TH-S,T005,2
TH-S,T006,2
TH-S,T007,2
TH-S,T008,4
TH-S,T009,2
TH-S,T010,1
TH-S,T011,1
TH-S,T012,1
TH-S,T014,3
TH-S,T015,5
TH-S,T016,2
TH-S,T017,2
TH-S,T018,2
TH-S,T019,1
TH-S,T020,2
TH-S,T021,2
TH-S,T022,2
TH-SA,T002,1
TH-SA,T003,1
TH-SA,T004,2
TH-SA,T005,1
TH-SA,T006,1
TH-SA,T007,2
TH-SA,T008,2
TH-SA,T009,1
TH-SA,T011,1
TH-SA,T012,1
TH-SA,T013,2
TH-SA,T014,2
TH-SA,T015,3
TH-SA,T016,1
TH-SA,T017,2
TH-SA,T018,2
TH-SA,T019,2
TH-SA,T020,2
TH-SA,T022,2
TH-SC,T001,1
TH-SC,T002,2
TH-SC,T004,1
TH-SC,T005,1
TH-SC,T006,2
TH-SC,T007,1
TH-SC,T008,2
TH-SC,T010,1
TH-SC,T011,2
TH-SC,T012,1
TH-SC,T013,1
TH-SC,T014,1
TH-SC,T015,2
TH-SC,T016,1
TH-SC,T017,1
TH-SC,T018,1
TH-SC,T019,1
TH-SC,T022,1
TH-SP,T001,1
TH-SP,T002,1
TH-SP,T003,2
TH-SP,T004,1
TH-SP,T005,2
TH-SP,T006,1
TH-SP,T007,1
TH-SP,T008,1
TH-SP,T009,2
TH-SP,T010,1
TH-SP,T012,1
TH-SP,T014,2
TH-SP,T015,3
TH-SP,T016,2
TH-SP,T017,1
TH-SP,T018,1
TH-SP,T021,1
TH-SP,T022,1
TH-SPL,T001,2
TH-SPL,T002,2
TH-SPL,T004,2
TH-SPL,T005,2
TH-SPL,T006,3
TH-SPL,T007,3
TH-SPL,T008,3
TH-SPL,T010,1
TH-SPL,T011,4
TH-SPL,T012,1
TH-SPL,T013,2
TH-SPL,T014,2
TH-SPL,T015,2
TH-SPL,T016,1
TH-SPL,T017,2
TH-SPL,T018,3
TH-SPL,T019,2
TH-SPL,T021,1
TH-SPL,T022,1
TH-SRL,T001,2
TH-SRL,T002,2
TH-SRL,T004,2
TH-SRL,T005,1
TH-SRL,T006,2
TH-SRL,T007,1
TH-SRL,T008,3
TH-SRL,T010,1
TH-SRL,T011,3
TH-SRL,T012,1
TH-SRL,T013,1
TH-SRL,T014,1
TH-SRL,T015,1
TH-SRL,T016,1
TH-SRL,T017,2
TH-SRL,T018,2
TH-SRL,T019,1
TH-SRL,T021,1
TH-SRL,T022,1
TH-TD,T001,3
TH-TD,T002,2
TH-TD,T003,2
TH-TD,T004,2
TH-TD,T005,3
TH-TD,T006,3
TH-TD,T007,2
TH-TD,T008,2
TH-TD,T009,1
TH-TD,T010,2
TH-TD,T011,3
TH-TD,T012,1
TH-TD,T013,2
TH-TD,T014,2
TH-TD,T015,2
TH-TD,T016,4
TH-TD,T017,3
TH-TD,T018,4
TH-TD,T019,1
TH-TD,T021,1
TH-TD,T022,2
TH-UDFL,T001,1
TH-UDFL,T002,2
TH-UDFL,T004,2
TH-UDFL,T005,3
TH-UDFL,T006,3
TH-UDFL,T007,1
TH-UDFL,T008,4
TH-UDFL,T009,1
TH-UDFL,T010,2
TH-UDFL,T011,3
TH-UDFL,T012,1
TH-UDFL,T013,3
TH-UDFL,T014,2
TH-UDFL,T015,4
TH-UDFL,T016,2
TH-UDFL,T017,3
TH-UDFL,T018,2
TH-UDFL,T019,2
TH-UDFL,T020,1
TH-UDFL,T021,1
TH-UDFL,T022,1
T006,Shek-2023,2
T010,Litton-2021,1
T018,Brame-2016,2
T004,Brame-2016,1
T004,Shek-2023,1
T018,Guo-2014,1
T010,Shek-2023,1
T011,Guo-2014,1
T021,Brame-2016,2
T016,Litton-2021,2
T003,Belt-2021,2
T002,Shek-2023,1
T005,Mutawa-2023,2
T015,Chust-Prez-2024,2
T001,Litton-2021,1
T005,Noetel-2021,1
T019,Mutawa-2023,1
T005,Seo-2021,1
T012,Shek-2023,1
T007,Mutawa-2023,1
T004,Brame-2016,2
T014,Litton-2021,1
T006,Starke-2021,1
T001,Seo-2021,1
T011,Guo-2014,2
T008,Brame-2016,2
T004,Chust-Prez-2024,2
T016,Belt-2021,1
T015,Starke-2021,2
T008,Shek-2023,1
T022,Belt-2021,1
T011,Seo-2021,2
T009,Noetel-2021,2
T017,Brame-2016,2
T018,Brame-2016,2
T004,Belt-2021,2
T019,Chust-Prez-2024,2
T004,Belt-2021,2
T011,Mutawa-2023,2
T017,Akapnar-2024,1
T019,Seo-2021,1
T002,Shek-2023,2
T017,Belt-2021,1
T014,Mutawa-2023,1
T011,Brame-2016,2
T004,Brame-2016,2
T010,Litton-2021,2
T013,Mutawa-2023,2
T005,Litton-2021,1
T022,Seo-2021,2
T006,Brame-2016,2
T018,Seo-2021,1
T010,Shek-2023,1
T019,Seo-2021,2
T015,Campbell-2022,2
T007,Brame-2016,2
T006,Guo-2014,1
T017,Shek-2023,2
T008,Noetel-2021,2
T007,Starke-2021,1
T002,Belt-2021,1
T020,Campbell-2022,1
T014,Campbell-2022,1
T013,Guo-2014,2
T008,Seo-2021,1
T001,Brame-2016,1
T008,Seo-2021,1
T017,Guo-2014,2
T018,Belt-2021,1
T015,Noetel-2021,1
T022,Campbell-2022,2
T020,Campbell-2022,2
T015,Litton-2021,1
T016,Guo-2014,2
T008,Shek-2023,2
T016,Litton-2021,1
T015,Shek-2023,1
T010,Guo-2014,1
T011,Shek-2023,2
T003,Litton-2021,1
T008,Chust-Prez-2024,2
T005,Guo-2014,1
T014,Noetel-2021,2
T018,Mutawa-2023,2
T002,Seo-2021,1
T013,Seo-2021,1
T013,Akapnar-2024,2
T012,Belt-2021,2
T014,Seo-2021,1
T008,Campbell-2022,2
T016,Seo-2021,1
T011,Seo-2021,2
T006,Guo-2014,2
T020,Chust-Prez-2024,1
T019,Seo-2021,1
T021,Noetel-2021,2
T015,Chust-Prez-2024,1
T009,Belt-2021,2
T007,Mutawa-2023,2
T011,Mutawa-2023,2